company,website,domain,category,country
1871,http://www.1871.com,1871.com,Designers|Internet|Non Profit|Startups,USA
1CloudStar,http://www.1CloudStar.com,1cloudstar.com,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,SGP
1DayMakeover,http://www.1daymakeover.com,1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,USA
1Energy Systems,http://1energysystems.com,1energysystems.com,Software,USA
1Ring,http://www.1ring.com,1ring.com,Advertising|Contests|Curated Web|Games|Mobile|Music|News|Sales and Marketing|Startups|Television,
1SDK,http://www.1sdk.com,1sdk.com,Mobile|Mobile Analytics|Predictive Analytics|SaaS,
1stdibs,http://www.1stdibs.com,1stdibs.com,E-Commerce,USA
1stGig.com,http://www.1stgig.com,1stgig.com,E-Commerce,USA
1V1 DRAFT GAEMS,http://1V1GRAFTGAMES.COM,1v1graftgames.com,,USA
1World Online,http://1worldonline.com,1worldonline.com,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,USA
2NGageU,http://www.2ngageu.com,2ngageu.com,Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,USA
2 Pro Media Group,http://www.2pro.hk,2pro.hk,Digital Media|Marketing Automation|Media,
20x200,http://www.20x200.com,20x200.com,Art|E-Commerce|Social Commerce,USA
2100b Sausalito LLC.,http://2100b.com,2100b.com,Advertising|Direct Marketing|Social Media,USA
21 Inc,https://21.co,21.co,Big Data|Bitcoin|Hardware + Software|Technology,USA
23andMe,http://23andme.com,23andme.com,Biotechnology|Search,USA
23press,http://www.23press.com,23press.com,Blogging Platforms|Software,CAN
[24]7,http://247-inc.com,247-inc.com,Customer Service|Predictive Analytics|Services|Software|Technology,USA
247 Techies,http://www.247techies.com,247techies.com,Hardware + Software,USA
24fab,https://www.24fab.com/,24fab.com,,ESP
24h00,http://www.boosket.com/,boosket.com,Advertising|E-Commerce|Marketing Automation,FRA
24i,http://www.24i.com/,24i.com,Internet,NLD
24PageBooks,http://24pagebooks.com,24pagebooks.com,Software,USA
24Symbols,http://www.24symbols.com,24symbols.com,Software|Textbooks,ESP
250ok,http://250ok.com,250ok.com,Software,USA
25eight,http://25eightsoftware.com,25eightsoftware.com,DIY|Electronics|Software,USA
27 bards,http://27bards.com,27bards.com,Software|Tourism,USA
27 Perry,http://www.27perry.com,27perry.com,E-Commerce|Finance|Marketplaces,USA
280 North,http://280north.com,280north.com,Presentations|Software,USA
28msec,http://www.28msec.com,28msec.com,Cloud Computing|Databases|Software|Web Development,USA
29West,http://www.informatica.com/us/products/messaging/#fbid=UCXENH4s-Pb,informatica.com,,
2AdPro Media Solutions,http://www.2adpro.com,2adpro.com,Ad Targeting|Advertising|Advertising Platforms|Design|Digital Media|Marketing Automation|Mobile Advertising|SaaS|Web Design,USA
2C2P,http://www.2c2p.com,2c2p.com,E-Commerce|Mobile Commerce|Payments|Software,SGP
2Checkout,http://www.2checkout.com,2checkout.com,E-Commerce,USA
2CODE Online,http://www.2codeonline.com,2codeonline.com,Internet|Software|Web Development,
2CRisk,http://www.2crisk.com.au,2crisk.com.au,Software,AUS
2d2c,http://www.2d2c.com,2d2c.com,Hardware + Software,USA
2GO Mobile Solutions,http://www.2gosoftware.com,2gosoftware.com,Software,USA
2heuresavant,http://www.2heuresavant.com/spectacles,2heuresavant.com,Discounts|Entertainment|Internet|Ticketing,FRA
2lemetry,http://2lemetry.com,2lemetry.com,Internet of Things|M2M|Software,USA
2Morrow Inc,http://www.2morrowinc.com,2morrowinc.com,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,USA
2nd Screen Games,http://www.2ndsg.com,2ndsg.com,,USA
"2nd Story Software, Inc.",http://www.taxact.com,taxact.com,Software,USA
2nd Watch,http://2ndwatch.com,2ndwatch.com,Cloud Infrastructure|Corporate IT|Enterprise Software,USA
2Nite2Nite.net,http://www.2nite2nite.net,2nite2nite.net,Advertising|Media,USA
2U Inc.,http://2u.com,2u.com,EdTech|Education|Software,USA
2Vancouver,http://2vancouver.com,2vancouver.com,E-Commerce|Navigation|Tourism,CAN
3 Kinds of Ice,http://www.3kindsofice.com,3kindsofice.com,,GBR
30 Second Showcase,http://www.30secondshowcase.com,30secondshowcase.com,Apps|Creative|Design|Finance|Mobile|Photography|Software,USA
30SecondsToFly - Claire,http://www.30secondstofly.com,30secondstofly.com,,
31Dover,http://www.31dover.com,31dover.com,E-Commerce|Wine And Spirits,GBR
33Across,http://www.33across.com,33across.com,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,USA
"360fly, Inc.",http://www.360fly.com,360fly.com,Consumer Electronics|Software,USA
360incentives.com,http://www.360incentives.com,360incentives.com,Software,CAN
360Quan,http://www.360quan.com,360quan.com,Internet|Social Media|Social Network Media,
365 Data Centers,http://365datacenters.com,365datacenters.com,Data Centers|Information Technology|Internet|Services,USA
365 Retail Markets,http://www.365retailmarkets.com,365retailmarkets.com,Point of Sale|SaaS|Software,USA
Basecamp,https://basecamp.com/,basecamp.com,Project Management|SaaS|Social Media|Software,USA
38 Zeros,http://www.38zeros.com/,38zeros.com,Software,USA
3Cinteractive,http://www.3C.com,3c.com,Business Services|Marketing Automation|Mobile,USA
3Claps,http://www.3claps.com,3claps.com,Babies|Big Data Analytics|E-Commerce|Fashion|Kids,USA
3ClickEMR Corporation,http://www.3clickemr.com,3clickemr.com,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,USA
3CLogic,http://www.3clogic.com,3clogic.com,Customer Service|Sales and Marketing|Software|Telephony,USA
XDN/3Crowd Technologies,http://www.3crowd.com,3crowd.com,Enterprise Software,USA
3DPrinterOS,http://www.3DPrinterOS.com,3dprinteros.com,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,USA
3D Industri.es,http://www.3dindustri.es,3dindustri.es,3D|Curated Web|Manufacturing|Search|Supply Chain Management|Visualization,GBR
3D Product Imaging,http://3dproductimaging.com/,3dproductimaging.com,3D|3D Technology|E-Commerce|Internet|Online Shopping,USA
3D simo,http://3dsimo.com,3dsimo.com,,
3D Sound Labs,http://www.3dsoundlabs.com,3dsoundlabs.com,Hardware + Software,FRA
3D Sports Technology,http://3dsportstech.com,3dsportstech.com,Software,USA
3D Systems,http://www.3dsystems.com,3dsystems.com,Software,USA
3DBin,http://3dbin.com,3dbin.com,E-Commerce,USA
3dCart Shopping Cart Software,http://www.3dcart.com,3dcart.com,E-Commerce,USA
3DDUO,http://www.3dduo.com/en,3dduo.com,Business Services|Video Games,FRA
3DIVAZ,http://www.3divaz.ch/Home,3divaz.ch,,
3DPrintus,http://3dprintus.ru,3dprintus.ru,3D|3D Printing|Internet|Manufacturing,
3DT,http://3dtinc.com/,3dtinc.com,Finance|Software|Venture Capital,USA
3FLOZ,http://www.3floz.com,3floz.com,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,USA
3Funnel,http://www.3funnel.com,3funnel.com,Business Analytics|E-Commerce|Enterprise Software|Visualization,IRL
Nimble VR,http://nimblevr.com/,nimblevr.com,Software,USA
3IS,http://www.3isinc.com/,3isinc.com,,
3KeyIt,http://www.long-associates.biz/,long-associates.biz,Software,USA
3LM,http://www.3lm.com,3lm.com,Android|Enterprises|Mobile,
3PAR,http://www.3par.com,3par.com,Cloud Data Services|Services|Software,USA
3Pillar Global,http://www.3pillarglobal.com,3pillarglobal.com,Consulting|Software,USA
3PL Central,http://3plcentral.com/,3plcentral.com,,USA
3Play Media,http://www.3playmedia.com,3playmedia.com,Software,USA
3PointData,http://3pointdata.com,3pointdata.com,,
3scale,http://www.3scale.net,3scale.net,Developer APIs|Enterprise Software|Infrastructure|Services|Software,USA
3seventy,http://www.3seventy.com,3seventy.com,App Marketing|Software,USA
3Sourcing,http://www.3sourcing.com,3sourcing.com,Consulting|Freelancers|Human Resources|Recruiting|Search|Social Commerce,USA
3TEN8,http://www.3ten8.com/,3ten8.com,Software,USA
3Touch,http://www.3touch.com,3touch.com,Software,IRL
4-Tell,http://4-tell.com,4-tell.com,E-Commerce,USA
42,http://www.42technologies.com,42technologies.com,Enterprise Software,USA
Loctronix,http://www.loctronix.com,loctronix.com,Software,USA
CAD CAD Design Services,http://www.thebegetter.com,thebegetter.com,Business Services|Product Design,USA
4Blox,http://www.4blox.com,4blox.com,Software,USA
4C,http://www.4cinsights.com,4cinsights.com,Analytics,USA
4D Energetics,http://4denergetics.com,4denergetics.com,Clean Technology|Enterprise Software,USA
4Front Security,http://www.4frontsecurity.com,4frontsecurity.com,,
4Home,http://www.4home.com,4home.com,Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,USA
4INFO,http://www.4info.com,4info.com,Ad Targeting|Big Data Analytics|Mobile Advertising,USA
4Less,http://golf4less.com.au,golf4less.com.au,E-Commerce|Marketplaces,
4moms,http://www.4moms.com,4moms.com,Hardware + Software,USA
4screens,http://4screens.net/,4screens.net,,
4th aspect,http://www.4thaspect.com,4thaspect.com,Advertising|Software,GBR
4theTable,http://www.4thetable.com,4thetable.com,,
4tiitoo GmbH,http://www.4tiitoo.com,4tiitoo.com,3D Technology|Augmented Reality|Computers|Computer Vision|Enterprise Software|Human Computer Interaction|Mobile|Predictive Analytics|Software|Speech Recognition|Tablets|User Experience Design,DEU
5 examples,http://5examples.com,5examples.com,Software,USA
5 Million Shoppers,http://5mshoppers.com/,5mshoppers.com,Internet|Mobile,USA
ChartRequest,http://www.chartrequest.com,chartrequest.com,Software,USA
5 Screens Media,http://www.5screensmedia.com/,5screensmedia.com,Business Services,
500Friends,http://www.500Friends.com,500friends.com,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,USA
500px,http://500px.com,500px.com,Apps|Internet|Photography|Promotional|Sales and Marketing,CAN
51 Qiangzuo,http://www.51qiangzuo.com/,51qiangzuo.com,,
51wofang 无忧我房,http://www.51wofang.com,51wofang.com,,
55social,http://55social.com,55social.com,Software,
58 Daojia,http://daojia.58.com/,daojia.58.com,Consumer Internet,
59sec,https://www.59sec.com,59sec.com,Advertising|Lead Management|Sales and Marketing,
5app,http://5app.com/,5app.com,Mobile|Software|Web Design|Web Development,GBR
5o9,http://www.3pmobile.com,3pmobile.com,Software,USA
5skills,http://5skills.me,5skills.me,Sales and Marketing|Social Media,
5th Avenue Media,http://5thavemedia.com,5thavemedia.com,Advertising|Digital Media|Distribution|Social Media,USA
5to1,http://www.5to1.com,5to1.com,Advertising|Internet|Internet Marketing,USA
60Frames Entertainment,http://60frames.com/,60frames.com,,USA
60mo,http://60mo.com,60mo.com,Accounting|Business Development|Finance|Software|Web Development,GBR
640 Labs,http://www.640labs.com/,640labs.com,Software,USA
6Qube,http://www.6qube.com/,6qube.com,Information Services|Information Technology|Internet Marketing|SEO,USA
6degrees,http://www.get6degrees.com,get6degrees.com,Apps|Contact Management|Software,SGP
6EP,http://6ep.co.uk/,6ep.co.uk,,GBR
6fusion,http://www.6fusion.com,6fusion.com,Enterprise Software,USA
6px,https://6px.io,6px.io,Cloud Computing|Cloud Data Services|Developer APIs|PaaS,USA
6sense,http://www.6sense.com,6sense.com,B2B|Predictive Analytics|Sales and Marketing,USA
6th Sense Analytics,http://www.sixthsenseanalytics.com,sixthsenseanalytics.com,Software,USA
6Wunderkinder / Wunderlist,https://www.wunderlist.com/home,wunderlist.com,Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,DEU
7 Billion People,http://www.7bpeople.com,7bpeople.com,Analytics|E-Commerce|Software,USA
71lbs,http://71lbs.com,71lbs.com,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,USA
Shoppable,http://www.Shoppable.com/,shoppable.com,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,USA
7dnei.net,https://7dnei.net/,7dnei.net,Broadcasting|Business Services|Training,
7Park Data,http://7parkdata.com,7parkdata.com,Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS,USA
7Summits,http://www.7summitsagency.com,7summitsagency.com,Brand Marketing|Communities|Consulting|Semantic Search|SEO,USA
8 Inc.,http://www.weare8.com,weare8.com,Design|Internet|Shared Services,USA
80/20 Solutions,http://www.8020solutions.com,8020solutions.com,Advertising|Email|Loyalty Programs|Mobile|SaaS|Sales and Marketing|Social Media|Software,CAN
80 Degrees West,http://80dwid.com,80dwid.com,Home Decor|Interior Design|Internet,USA
800razors,http://www.800razors.com,800razors.com,E-Commerce,USA
8bit,http://www.get8bit.com,get8bit.com,Advertising|Content Discovery,GBR
8th Story,http://www.8thstory.com,8thstory.com,E-Commerce|Fashion|Lifestyle|Retail,USA
8villages,http://www.8villages.com,8villages.com,Analytics|Apps|Big Data|E-Commerce|Education|Enterprise Software|Internet of Things|Media|Mobile|Payments|SaaS|Social Media,SGP
9+ Program,http://www.9plus.us,9plus.us,Consulting,USA
909c,http://www.909c.fr/,909c.fr,Apps|Publishing|Social Media|Social Media Marketing,
911 Pets,http://911pets.us/,911pets.us,,USA
99.co,http://www.99.co,99.co,Local Businesses,SGP
99chairs,http://www.99chairs.com/,99chairs.com,Interior Design|Internet|Services,DEU
99degrees Custom,http://www.99degreescustom.com,99degreescustom.com,E-Commerce Platforms|Manufacturing|Material Science,USA
99DRONES,http://www.99drones.com/,99drones.com,Brand Marketing|Internet Marketing|Social Network Media,NLD
99Gamers,http://www.99gamers.com,99gamers.com,E-Commerce|Trading|Video Games,USA
9Lenses,http://www.9lenses.com,9lenses.com,Business Analytics|Enterprise Software|SaaS|Software,USA
9Mile Labs,http://www.9milelabs.com,9milelabs.com,Software|Technology,USA
9SLIDES,http://www.9SLIDES.com,9slides.com,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,USA
9Star Research,http://www.9starinc.com,9starinc.com,Software,USA
9th Dimension Biotech,http://www.9dbiotech.com,9dbiotech.com,,
A Curated World,http://kaymcgowan.com,kaymcgowan.com,E-Commerce,USA
A&E Complete Home Services,http://www.aecompletehome.com,aecompletehome.com,Consulting,USA
A Green Night's Sleep,http://www.agreennightssleep.com,agreennightssleep.com,,USA
A Place for Rover,http://www.aplaceforrover.com/,aplaceforrover.com,Internet,USA
A Smarter City,http://www.asmartercity.com,asmartercity.com,Networking|Sensors|Software|Wireless,
A V.E.T.S.c.a.r.e.,http://VETScare.net,vetscare.net,,USA
A1 Software Group Inc (Selly Automotive),http://www.a1softwaregroup.com,a1softwaregroup.com,Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,USA
A10 Capital,http://a10capital.com,a10capital.com,,USA
A2Zlogix,http://a2zlogix.com,a2zlogix.com,3D|Advertising|Content|Content Creators|Content Delivery|Mobile,USA
Aardvark,http://googleblog.blogspot.com/2011/09/fall-spring-clean.html,googleblog.blogspot.com,Search,USA
Aarki,http://www.aarki.com,aarki.com,Advertising|Mobile|Mobile Advertising|Optimization,USA
AB Tasty,http://en.abtasty.com,en.abtasty.com,Advertising|Analytics|E-Commerce|Optimization|Testing,FRA
Abacast,http://www.abacast.com,abacast.com,Analytics,USA
Abacus e-Media,http://abacusemedia.com,abacusemedia.com,Software,GBR
Abacus,http://abacus.com,abacus.com,SaaS|Software,USA
Abakus,http://abakus.me,abakus.me,Advertising|Advertising Platforms|Optimization|Software,USA
Abaris,https://www.myabaris.com,myabaris.com,Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software,USA
Abaxia,http://www.abaxia.com,abaxia.com,Software,FRA
ABB Road,http://www.thatboatplace.com,thatboatplace.com,Software,USA
AbbeyPost,http://abbeypost.com,abbeypost.com,E-Commerce|Fashion|Women,USA
Abe's Market,http://www.abesmarket.com,abesmarket.com,E-Commerce,USA
AbilTo,http://www.abilto.com,abilto.com,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,USA
Abios Gaming,http://abiosgaming.com/,abiosgaming.com,,
Abiquo Group,http://www.abiquo.com,abiquo.com,Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting,USA
aBIZinaBOX,http://abizinabox.com,abizinabox.com,Accounting|Consulting|CRM|Marketing Automation|Project Management,USA
Able Lending,https://www.ablelending.com/,ablelending.com,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,USA
Able Device,http://abledevice.com,abledevice.com,M2M|Software,USA
Able Planet,http://www.ableplanet.com,ableplanet.com,Hardware + Software,USA
AbleCloud,http://www.ablecloud.cn/,ablecloud.cn,,
AbleSky,http://ablesky.com,ablesky.com,Software,USA
ABO Data,http://PLATONE.IO,platone.io,Enterprise Software,USA
ABODO,http://www.abodo.com,abodo.com,Real Estate|Search,USA
About GlamourRent GmbH,http://www.glamourrent.com,glamourrent.com,,
AboutMyStar,http://aboutmystar.com,aboutmystar.com,Communities|Image Recognition|Internet|Public Relations,
AboutOurWork,http://www.aboutourwork.com,aboutourwork.com,Analytics|Business Services|Small and Medium Businesses|Social Network Media|Visualization,USA
ABOVE Solutions,http://above-inc.com,above-inc.com,Software,USA
Abovo42 Corporation,http://www.Abovo42.com,abovo42.com,,
A Break Please,http://www.abreakplease.com/,abreakplease.com,,
ABSENTIA,http://www.absentiavr.com/,absentiavr.com,,
AbsolutData,http://www.absolutdata.com,absolutdata.com,Analytics,USA
Absolute Commerce,http://absolutecommerce.com/,absolutecommerce.com,Software,USA
Abtran,http://abtran.com/,abtran.com,,IRL
Abukai,http://abukai.com,abukai.com,Android|Apps|Business Services|iOS|iPhone|Mobile|Productivity Software|SaaS|Software,USA
FashionAde.com (Abundant Closet),http://www.FashionAde.com,fashionade.com,E-Commerce,USA
Abury,http://abury.net/,abury.net,E-Commerce|Fashion|Lifestyle,DEU
abusix,http://abusix.com,abusix.com,B2B|Internet Service Providers|Security|Software,USA
AbZorba Games,http://www.abzorbagames.com,abzorbagames.com,Apps|Games|Mobile|Social Media|Software,
A.C. Moore,http://acmoore.com,acmoore.com,E-Commerce,USA
Acacia Interactive,http://investing.businessweek.com,investing.businessweek.com,Software,USA
Acacia Research,http://www.acaciaresearch.com,acaciaresearch.com,Business Services|Intellectual Asset Management|Licensing,USA
Academia RFID,http://rfidacademia.com,rfidacademia.com,Consulting,CAN
AcademixDirect,http://www.academixdirect.com,academixdirect.com,Advertising|Education|Lead Generation|Portals,USA
Acadient,http://www.acadient.com,acadient.com,,
Acadine Technologies,http://www.acadine.com,acadine.com,Internet of Things|Mobile|Operating Systems|Wearables,
acaia,http://acaia.co,acaia.co,Coffee|Internet of Things,USA
Accalio,http://accalio.com/,accalio.com,,
Acccess Technology Solutions,http://www.accessts.com/,accessts.com,E-Commerce,USA
Accedian Networks,http://www.accedian.com,accedian.com,Business Services|Enterprises|Mobile|Networking|Telecommunications,CAN
Accela,http://www.accela.com,accela.com,Government Innovation|Governments|SaaS|Software,
Accelerated IO,http://www.pac-n-zoom.com,pac-n-zoom.com,Software,USA
Accelerated Pictures,http://acceleratedpictures.com/,acceleratedpictures.com,Software,USA
Accelerated Vision Group,http://acceleratedvision.com,acceleratedvision.com,Analytics,USA
Accelerator Centre,http://www.acceleratorcentre.com,acceleratorcentre.com,,CAN
Accelerator Corp.,http://www.acceleratorcorp.com,acceleratorcorp.com,,USA
Accelerize New Media,http://www.accelerizenewmedia.com,accelerizenewmedia.com,Enterprise Software,USA
Accelitec,http://www.accelitec.com,accelitec.com,Software,USA
Accella Learning,http://www.accellalearning.com,accellalearning.com,EdTech|Education|Software,USA
Accellion,http://www.accellion.com,accellion.com,Enterprise Software|Security,USA
Accellos,http://www.accellos.com,accellos.com,Logistics|Software|Storage|Supply Chain Management|Transportation,USA
AccelOne,http://accelone.com,accelone.com,Software,USA
AccelOps,http://www.accelops.com,accelops.com,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,USA
Accelovation,http://www.accelovation.com/,accelovation.com,Software,
Accengage,http://www.accengage.com/,accengage.com,Mobile|Mobile Analytics,FRA
Accent Media Limited,http://accent.media,accent.media,Domains|Internet|Ticketing,GBR
Accenx Technologies,http://www.accenx.com,accenx.com,Software,USA
Acceptd,http://getacceptd.com,getacceptd.com,Software,USA
Access Information Management,http://informationprotected.com,informationprotected.com,Enterprise Software,USA
Access Northeast,http://www.axsne.com,axsne.com,Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting,USA
AccessSportsMedia.com,http://accesssportsmedia.com,accesssportsmedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,USA
Access Systems,http://www.accsys-inc.com,accsys-inc.com,Business Services|Customer Service|Services,USA
Access UK,http://www.theaccessgroup.com,theaccessgroup.com,Accounting|Advice|Finance|Software,GBR
AccessData,http://www.accessdata.com,accessdata.com,Enterprise Software,USA
AccessLan Communications,http://www.accesslan.com/,accesslan.com,Computers|Internet|Networking,USA
Access Network,http://www.accessnetwork.com,accessnetwork.com,Advertising,USA
Accipiter,http://www.accipiter.com/,accipiter.com,Advertising|Internet|Services,USA
Accipiter Systems,http://www.accipitersystems.com,accipitersystems.com,Analytics,USA
Acclaimd,http://www.acclaimd.com,acclaimd.com,Analytics|Career Management|Recruiting|Social Recruiting,USA
Acclaris Holdings,http://www.acclaris.com/,acclaris.com,Development Platforms|Health Care|Software,USA
Acco Brands,http://www.accobrands.com/acco/us/us/home.aspx,accobrands.com,Hardware + Software,USA
ACCO SA,http://www.acco-ic.com,acco-ic.com,,
Accolo,http://www.accolo.com,accolo.com,Consulting,USA
Accordent Technologies,http://www.accordent.com,accordent.com,Consulting,USA
Accordion Health,https://accordionhealth.com,accordionhealth.com,Big Data Analytics|Health Care Information Technology|SaaS,USA
Accountable,http://www.accountablehq.com,accountablehq.com,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,USA
Accreon,http://www.accreon.com/,accreon.com,Software,USA
Accrue Search Concepts dba Boounce,http://www.boounce.com/indexBeta.php,boounce.com,Search|Software|Vertical Search,
Accruent,http://www.accruent.com,accruent.com,Enterprise Software,USA
Accruit,http://www.accruit.com,accruit.com,Software,USA
AccuDraft,http://www.accudraft.com,accudraft.com,Software,USA
Accumedia,http://www.accumedia.com/,accumedia.com,Software,
Accumuli Security,http://www.accumuli.com,accumuli.com,Content|Events|Security|Software|Training,GBR
Accuradio,http://www.accuradio.com/,accuradio.com,Internet Radio Market,USA
Accurence,http://www.accurence.com,accurence.com,Software,USA
AccuRev,http://www.accurev.com,accurev.com,Software,USA
AccurIC,http://www.accuric.com,accuric.com,Hardware + Software,GBR
Pegasus Imaging Corporation,http://www.accusoft.com,accusoft.com,Software,USA
AccuTherm Systems,http://accumedsystemsinc.com,accumedsystemsinc.com,Hardware + Software,USA
AccuVein,http://www.accuvein.com,accuvein.com,Hardware + Software,USA
ACE Consensus,http://www.aceconsensus.com,aceconsensus.com,,
ACE Health,http://www.acehealth.co,acehealth.co,Health and Wellness|Health Care|Health Care Information Technology|mHealth|Predictive Analytics,IRL
Ace Learning Company,http://www.acelearningco.com/,acelearningco.com,Education|SaaS|Services,USA
Ace Metrix,http://www.acemetrix.com,acemetrix.com,Advertising,USA
Acesis,http://www.acesis.com,acesis.com,Health Care|Physicians|Software,USA
ACHICA,http://www.achica.com,achica.com,E-Commerce|Gift Card|Home & Garden|Kids|Lifestyle|Retail|Travel,GBR
Achieve Financial Services,http://www.achievecard.com,achievecard.com,Brand Marketing|Finance|P2P Money Transfer,USA
Achieve X,http://achievenext.com,achievenext.com,Software,USA
Achieve3000,http://www.achieve3000.com,achieve3000.com,Software,USA
AchieveIt,http://achieveit.com,achieveit.com,Enterprise Software,
Achievers,http://www.achievers.com,achievers.com,Employer Benefits Programs|Incentives|Services|Software,USA
Achievo,https://www.achievo.com,achievo.com,Information Technology|Services|Software,
Achievo(R) Corporation,http://www.achievo.org,achievo.org,Enterprise Software,USA
Achilles Group,http://www.achilles.co.uk,achilles.co.uk,Enterprise Software,GBR
ACI Solutions,http://www.acisolutions.net,acisolutions.net,Internet Service Providers,USA
Acid Labs,http://www.acidlabsllc.com,acidlabsllc.com,E-Commerce|Mobile|Software|Web Hosting,USA
Zentri,http://www.zentri.com,zentri.com,Internet of Things|Security|Software|Wireless,USA
ACM Capital Partners,http://acmcapitalpartners.com,acmcapitalpartners.com,Consulting,USA
Acompli,https://www.acompli.com,acompli.com,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,USA
Aconex,http://www.aconex.com,aconex.com,Cloud Computing|Construction|Engineering Firms|Software,
Aconite Technology,http://www.aconite.net,aconite.net,Software,GBR
Acopio,http://acopio.org,acopio.org,Agriculture|Analytics|Coffee,USA
Acorio,http://www.acorio.com,acorio.com,Enterprise Software,USA
Acorn Applications,http://www.acornapplications.com/,acornapplications.com,Software,USA
Acosta Sales & Marketing,http://www.acosta.com,acosta.com,Advertising,USA
Acoustic Technologies,http://www.acoustictech.com,acoustictech.com,Software,USA
Acquia,http://acquia.com,acquia.com,Content|Enterprise Software|Social Media|Software|Web CMS,USA
Acquisio,http://www.acquisio.com,acquisio.com,Advertising Platforms|Software,CAN
Acro Aircraft Seating,http://acro.aero/home.htm,acro.aero,,GBR
Acrolinx,http://www.acrolinx.com,acrolinx.com,Software,
"Acronym Media, Inc.",http://www.acronym.com,acronym.com,Analytics|Internet Marketing|Search|Search Marketing|Semantic Search|SEO,USA
ACS Clothing,http://hirewear.co.uk,hirewear.co.uk,E-Commerce,GBR
ACT.md,http://act.md,act.md,Software,USA
